Word,Definition,Example 1,Example 2
purple,of a dark reddish-blue colour,purple plums,a dark purple bruise
pursue,"to follow someone or something, usually to try to catch him, her, or it",The car was pursued by helicopters.,The hunters spent hours pursuing their prey.
pursuing,present participle of,,
pursu,The car was pursued by helicopters.,The hunters spent hours pursuing their prey.,
push-up,a physical exercise in which you lie flat with your face towards the floor and try to push up your body with your arms while keeping your legs and your back straigh,The increase in the price of raw materials has pushed up our costs.,
pyramid,a solid object with a square base and four triangular sides that form a point at the to,form a pyramid The acrobats formed a pyramid by standing on each other's shoulders.,pyramid structure figurative Many organizations have a pyramid structure (= there are fewer people at the top levels of them than there are at the bottom).
questionnaire,a list of questions that several people are asked so that information can be collected about something,Visitors to the country have been asked to fill in a detailed questionnaire.,fill in/fill out/complete a questionnaire All manufacturing companies registered as exporters were asked to complete a questionnaire about their exports.
radio,a piece of electronic equipment used for listening to radio broadcasts,a car radio,I switched on the radio.
ramification,the possible results of an action,ramification of Have you considered all the ramifications of your suggestion?,Have you considered all the ramifications of changing careers at this stage of your life?
rather,quite; to a slight degree,"It's rather cold today, isn't it?",That's rather a difficult book - here's an easier one for you.
realistic,accepting things as they are in fact and not making decisions based on unlikely hopes for the future,Let's be realistic (about this) - I just can't afford to pay that much money.,It isn't realistic to expect people to work for so little money.
reasonable,based on or using good judgment and therefore fair and practical,"If you tell him what happened, I'm sure he'll understand - he's a reasonable man.",He went free because the jury decided there was a reasonable doubt about his guilt.
rebellion,violent action organized by a group of people who are trying to change the political system in their country,The government has brutally crushed the rebellion.,a backbench rebellion against the new foreign policy
reception,a formal party at which important people are welcomed,The president gave a reception for the visiting heads of state.,Her first book got a wonderful/warm/frosty reception from the critics.
receptionist,"a person who works in a place such as a hotel, office, or hospital, who welcomes and helps visitors and answers the phon","When you get here, the receptionist will direct you to my office.",
recipient,a person who receives something,Former Nobel Peace Prize recipients include Jimmy Carter and Barack Obama.,He was a recipient of the Civilian Service Award.
recreation,(a way of) enjoying yourself when you are not working,His favourite recreations are golf and playing Scrabble.,Emma's only form of recreation seems to be shopping.
recruitment,the process of finding people to work for a company or become a new member of an organization,The recession has forced a lot of companies to cut down on graduate recruitment.,It's all part of a recruitment drive intended to increase the party's falling numbers.
rectangular,shaped like a rectangl,The painting consists of four rectangular blocks of color.,
rectangular,shaped like a rectangl,The painting consists of four rectangular blocks of color.,
red,of the colour of fresh blood,red lipstick,The dress was bright red.
reef,"a line of rocks or sand just above or just below the surface of the sea, often dangerous to ships",a dangerous offshore reef,a coral reef
reference,a mention of something,"make reference to Knowing what had happened, I avoided making any reference to (= mentioning) weddings.",with reference to formal I am writing with reference to (= in connection with) your letter of 15 March.
refreshment,(small amounts of) food and drink,He stopped at a bar for a little refreshment.,Light refreshments will be available at the back of the hall.
refrigerator,a piece of kitchen equipment that uses electricity to preserve food at a cold temperature,Store fruit juice in the refrigerator.,
register,"to put information, especially your name, into an official list or record",I registered the car in my name.,Within two weeks of arrival all foreigners had to register with the local police.
registrar’s office,,,
regular exercise,,,
relevant,connected with what is happening or being discussed,Education should be relevant to the child's needs.,"For further information, please refer to the relevant leaflet."
reliable,"Someone or something that is reliable can be trusted or believed because he, she, or it works or behaves well in the way you expect",Is your watch reliable?,reliable information
remedy,a successful way of curing an illness or dealing with a problem or difficulty,an effective herbal remedy for headaches,The best remedy for grief is hard work.
renewable,Renewable forms of energy can be produced as quickly as they are used,renewable energy sources such as wind and solar power,a renewable passport/contract
rent,"a fixed amount of money that you pay regularly for the use of a room, house, car, television, etc. that someone else owns",I pay a higher rent/more rent than the other tenants because my room is bigger.,Rents here are ridiculously high/low.
repealed,past simple and past participle of,,
repea,,,
repent,to be very sorry for something bad you have done in the past and wish that you had not done it,He repented (of his sins) just hours before he died.,"[ I ] Jenkins returned, to repent and face justice."
report writing,,,
reptile,an animal that produces eggs and uses the heat of the sun to control its blood temperatur,"Snakes, turtles, and crocodiles are all reptiles.",
republicans,a supporter of government by elected representatives of the people rather than government by a king or quee,a republican system of government,She is a convinced republican.
Reputation,"the opinion that people in general have about someone or something, or how much respect or admiration someone or something receives, based on past behaviour or character",The company has a worldwide reputation for quality.,She has the reputation of being a good doctor.
research,"a detailed study of a subject, especially in order to discover (new) information or reach a (new) understanding",medical research,scientific research
research method,a particular way of studying something in order to discover new information about it or understand it better,A focus group is a research method that's typically used to understand a consumer's reaction to a product or service.,
resemble,to look like or be like someone or something,You resemble your mother very closely.,"After the earthquake, the city resembled a battlefield."
reservation,an arrangement in which something such as a seat on an aircraft or a table at a restaurant is kept for you,I'd like to make a table reservation for two people for nine o'clock.,Please confirm your reservation in writing by Friday.
residence,a home,the Governor's official residence,The Queen is in residence at the Palace this week.
resources room,,,
restaurant,a place where meals are prepared and served to customers,We went to a little Italian restaurant and shared a pizza.,Does the hotel have a restaurant?
restraint,calm and controlled behaviour,"He showed admirable restraint, and refused to be provoked.",The security forces exercised (= used) great restraint by not responding to hostile attacks and threats.
restrictions,an official limit on something,import/export/currency restrictions,speed/parking restrictions
retail voucher,,,
review,"to think or talk about something again, in order to make changes to it or to make a decision about it",The committee is reviewing the current arrangement/situation.,Let's review what has happened so far.
revise,"to look at or consider again an idea, piece of writing, etc. in order to correct or improve it",His helpfulness today has made me revise my original opinion/impression of him.,His publishers made him revise his manuscript three times.
revolution,"a change in the way a country is governed, usually to a different political system and often using violence or war",The French Revolution changed France from a monarchy to a republic.,The country seems to be heading towards revolution.
rice,"the small seeds of a particular type of grass, cooked, and eaten as food",boiled/steamed/fried rice,long-grain rice
river,"a natural wide flow of fresh water across the land into the sea, a lake, or another river",We sailed slowly down the river.,the River Thames/Seine/Nile
road system,,,
robot,a machine controlled by a computer that is used to perform jobs automatically,The surgery can be carried out by robots.,a bomb disposal robot
rodents,"any of various small mammals with large, sharp front teeth, such as mice and rats","Rodents are extremely diverse in their ecology and lifestyles, and account for 40 percent of all mammal species.","The capybara, the largest living rodent, is native to South America."
roots,origins,trace its/your roots back to The city of Tours can trace its roots back to Roman times.,The Institute traces its roots back 200 years.
row house,a house in a city that is joined to others like it on either sid,,
rowboat,a small boat that is moved by pulling oars (= poles with flat ends) through the wate,,
rowing boat,a small boat that is moved by pulling oars (= poles with flat ends) through the wate,,
rubber,an elastic substance (= that stretches) made either from the juice of particular tropical trees or artificially,Tyres are almost always made of rubber.,He likes to pitch from the far left side of the rubber.
rubber,an elastic substance (= that stretches) made either from the juice of particular tropical trees or artificially,Tyres are almost always made of rubber.,He likes to pitch from the far left side of the rubber.
rugby,a sport where two teams try to score points by carrying an oval ball across a particular line or kicking it over and between an H-shaped set of posts,Tom plays rugby every Saturday.,He's built like a rugby player (= he is very big and strong).
rumor,"an unofficial interesting story or piece of news that might be true or invented, and quickly spreads from person to person",Rumors are going around (the school) about Mr. Mason and his assistant.,[ + that ] She's circulating/spreading rumors that the manager is going to resign.
Russian,"belonging to or relating to Russia, its people, or its languag",,
safe,not in danger or likely to be harmed,feel safe In some cities you don't feel safe going out alone at night.,She said that all the hostages were safe.
sailboat,a small boat with sail,,
salad bar,a table where different salads are served in a restaurant or sho,,
salty,tasting of salt or containing a lot of salt,This bacon is too salty for me.,I love peanuts and other salty snacks.
satellite,"a device sent up into space to travel around the earth, used for collecting information or communicating by radio, television, etc.",The World Cup was transmitted around the world by satellite.,a spy/weather satellite
satisfactory,good or good enough for a particular need or purpose,The teachers seem to think his work is satisfactory.,We hope very much to find a satisfactory solution to the problem.
satisfied,"pleased because you have got what you wanted, or because something has happened in the way that you wanted",Some people are never satisfied!,a satisfied smile
Saturday,the day of the week after Friday and before Sunday,He's leaving on Saturday.,Most football matches are played on Saturdays.
schedule,a list of planned activities or things to be done showing the times or dates when they are intended to happen or be done,a production schedule,a hectic/tight (= very busy) schedule
school bus,a bus for taking children to and from schoo,,
school reunion,"an organized social event for a group of people who went to the same school together in the past, and have not seen each other for a long time","I didn't go back to the town until last year, and that was for a school reunion.",A school reunion brought her back in contact with her childhood friend.
science,"(knowledge from) the careful study of the structure and behaviour of the physical world, especially by watching, measuring, and doing experiments, and the development of theories to describe the results of these activities",pure/applied science,recent developments in science and technology
screen,"a flat surface in a cinema, on a television, or as part of a computer, on which pictures or words are shown",Our television has a 19-inch screen.,"Coming to your screens (= cinemas) shortly, ""The Adventures of Robin Hood""."
scuba-diving,the sport of swimming underwater with special breathing equipmen,,
sculpture,"the art of forming solid objects that represent a thing, person, idea, etc. out of a material such as wood, clay, metal, or stone, or an object made in this way",Tom teaches sculpture at the local art school.,The museum has several life-sized sculptures of people and animals.
sea level,the average height of the sea where it meets the land,"The top of Mount Everest is 8,848 m above sea level.",The town is 300 feet above sea level.
seabirds,a bird that lives near the sea and gets its food from i,,
seafood,"animals from the sea that can be eaten, especially fish or sea creatures with shell",,
seaplane,an aircraft that can take off from and land on wate,,
secondary,less important than related things,Her health is what matters - the cost of the treatment is of secondary importance.,The need for secrecy is secondary to the need to take immediate action.
secretary,"someone who works in an office, writing letters, making phone calls, and arranging meetings for a person or for an organization",My secretary will phone you to arrange a meeting.,"The three elected members of the committee are the chair, secretary, and treasurer."
seed,"a small, round or oval object produced by a plant and from which, when it is planted, a new plant can grow",Sow the seeds (= put them in the ground) about three centimetres deep.,The chemical will stop all seeds from sprouting (= starting to grow).
semi-detached house,,,
senior,high or higher in rank,senior management,a senior government minister
September,"the ninth month of the year, after August and before October",My mother's birthday is in September.,School starts on 3 September.
settling,present participle of,,
settl,"Good, that's all settled - you send out the invitations for the party, and I'll organize the food.",[ + question word ] They haven't yet settled when the wedding is going to be.,
sewer systems,,,
shallow,having only a short distance from the top to the bottom,The stream was fairly shallow so we were able to walk across it.,She told her children to stay in the shallow end (of the swimming pool).
Shapes: Square,,,
shipment,"a large amount of goods sent together to a place, or the act of sending them",A shipment of urgent medical supplies is expected to arrive very soon.,[ C ] A shipment of vegetables arrived last week.
show jumping,,,
showroom,a large shop in which people are encouraged to look at the goods that are on sale before buying them,a car showroom,Our complete range of carpets is on display in our showroom.
significant,important or noticeable,There has been a significant increase in the number of women students in recent years.,The talks between the USA and the USSR were very significant for the relationship between the two countries.
significantly,in a way that is easy to see or by a large amount,My piano playing has improved significantly since I started with a new teacher.,"He said that he would be bringing a friend with him but, significantly, didn't say who it was."
silicon chip,"a small piece of silicon that is used in computers, calculators, and other electronic devices",The image sensor is a tiny silicon chip embedded with millions of pixels tightly packed together.,
silver,"a chemical element that is a valuable shiny, white metal, used for making cutlery (= knives, spoons, etc.), jewellery, coins, and decorative objects",solid silver We gave them a dish made of solid silver as a wedding present.,the silver Cleaning the silver (= silver objects) is a dirty job.
Simultaneous,happening or being done at exactly the same time,There were several simultaneous explosions in different cities.,The report will be broadcast in Russian with simultaneous English translation.
simultaneously,in a way that is simultaneous (= happening or being done at exactly the same time),Two children answered the teacher's question simultaneously.,The network was broadcasting four games simultaneously across the country.
Singapore,"a country in Southeast Asia, formed of the island of Singapore and other small island",,
single double bedded room,,,
single-decker,a bus or other vehicle that has only one leve,,
skateboarding,the activity or sport of riding a skateboar,,
skydiving,a sport in which a person jumps from an aircraft and falls for as long as possible before opening a parachut,,
skyscraper,"a very tall modern building, usually in a cit",The restaurant is at the top of one of the big downtown skyscrapers.,the soaring skyscrapers of New York City
slight,small in amount or degree,a slight improvement,a slight incline
smog,"a mixture of smoke, gases, and chemicals, especially in cities, that makes the atmosphere difficult to breathe and harmful for health",Smog is a major problem in Athens.,"As we flew into the airport, we could see a murky yellow smog hovering over the city."
smoothly,easily and without interruption or difficulty,"The road was blocked for two hours after the accident, but traffic is now flowing smoothly again.",Lead is added to fuel to make car engines run more smoothly.
snooker,"a game played, especially in the UK, by two people in which cues (= long, thin poles) and a cue ball are used to hit 15 red balls and six balls of different colours into six holes around a table covered in soft cloth in a fixed orde",Stevens conceded after failing to escape from a series of snookers.,He potted a long yellow ball to leave Davis needing snookers.
snorkeling,the activity of swimming while using a snorkel,We went snorkeling along the Great Barrier Reef.,
snowboarding,the activity or sport of moving over snow using a snowboar,,
soar power,,,
soccer,"a game played between two teams of eleven people, where each team tries to win by kicking a ball into the other team's goa",,
social,relating to activities in which you meet and spend time with other people and that happen during the time when you are not working,I had an active social life when I was at college.,I'm a social drinker - I only drink when I'm with other people.
sofa,"a long, soft seat with a back and usually arms, on which more than one person can sit at the same tim",,
soil conditioner,any material that is added to soil to improve its condition,Homemade compost is a superb soil conditioner.,The waste is ground into a fine substance that can be used as soil conditioner.
solar panels,a device that changes energy from the sun into electricity,Solar panels are used to power satellites.,
solely,only and not involving anyone or anything else,I bought it solely for that purpose.,It seems he's not solely to blame for the accident.
source of energy,,,
South America,"the continent that is to the south of North America, to the west of the Atlantic Ocean and to the east of the Pacific Ocea",,
souvenir,something you buy or keep to help you remember a holiday or special event,He bought a model of a red London bus as a souvenir of his trip to London.,We brought back a few souvenirs from our holiday in Mexico.
spacious,large and with a lot of space,a spacious house/living room,spacious accommodation
spare,"If something is spare, it is available to use because it is extra",a spare key/tyre,spare sheets and blankets
sparingly,"in small amounts, or without wasting any","There wasn't enough coal during the war, so we had to use it sparingly.","She created a natural look, using makeup sparingly."
special offer,goods that are sold at a lower price than usual,You can still take advantage of the special offer of $355 for return flights.,The special offer includes an extra night's stay at the hotel for corporate customers.
specialist,"someone who has a lot of experience, knowledge, or skill in a particular subject",a software specialist,She's a specialist in modern French literature.
specialist,"someone who has a lot of experience, knowledge, or skill in a particular subject",a software specialist,She's a specialist in modern French literature.
specialist,"someone who has a lot of experience, knowledge, or skill in a particular subject",a software specialist,She's a specialist in modern French literature.
species,a set of animals or plants in which the members have similar characteristics to each other and can breed with each other,endangered species The mountain gorilla is an endangered species.,vulnerable species Giant pandas are now classified as a vulnerable species on the global list.
spectacular,very exciting to look at,a spectacular view,He scored a spectacular goal in the second half.
speech,"the ability to talk, the activity of talking, or a piece of spoken language",Children usually develop speech in the second year of life.,People who suffer a stroke may experience a loss of speech.
spelunking,the sport of walking and climbing in caves,Let's go spelunking at the weekend.,
spherical,"round, like a ball",The earth is not perfectly spherical.,The earth is not perfectly spherical.
spherical,"round, like a ball",The earth is not perfectly spherical.,The earth is not perfectly spherical.
spiral,"a shape made up of curves, each one above or wider than the one before",spiral-shaped A corkscrew is spiral-shaped.,This year's downward spiral of house prices has depressed the market.
spiral,"a shape made up of curves, each one above or wider than the one before",spiral-shaped A corkscrew is spiral-shaped.,This year's downward spiral of house prices has depressed the market.
spiritual,"relating to deep feelings and beliefs, especially religious beliefs",Traditional ways of life fulfilled both economic and spiritual needs.,Religion focuses on the spiritual side of life.
sports centre,a building where you can play different sport,,
spotted,"covered in small, usually round areas of colour",a spotted toad,She was wearing a black and white spotted dress.
spread,"to cover or reach a wider or increasing area, or to make something do this",The fire spread very rapidly because of the strong wind.,spread to It started off as cancer of the liver but it spread to other areas of the body.
Square,a flat shape with four sides of equal length and four angles of 90°,First draw a square.,It's a square-shaped room.
squash,to crush something into a flat shape,He accidentally sat on her hat and squashed it.,The room was so full you couldn't squash another person in.
stadium,"a large closed area of land with rows of seats around the sides and often with no roof, used for sports events and musical performances",Thousands of fans packed into the stadium to watch the match.,the opening of a new national stadium (= where a country's team plays its home games)
staff,the group of people who work for an organization,There is a good relationship between staff and pupils at the school.,The staff are not very happy about the latest pay increase.
staff selection,,,
stalls,"rows of fixed seats in a church, often with the sides and backs connected",Members of the public were invited to sit in the choir stalls.,Eager faces peered up from the stalls as he delivered his sermon.
stamina,the physical and/or mental strength to do something that might be difficult and will take a long time,physical stamina The job requires great physical stamina.,mental stamina I really hope that I have the mental stamina to take on this challenge.
stamp collection,,,
state,a condition or way of being that exists at a particular time,a state of The building was in a state of disrepair.,state of mind She was found wandering in a confused state of mind.
stationery,"the things needed for writing, such as paper, pens, pencils, and envelope",business/personal stationery,I got these folders at the stationery store.
statistic,"information based on a study of the number of times something happens or is present, or other numerical facts",Statistics show/suggest that women live longer than men.,"According to official statistics, the Japanese work longer hours than workers in most other industrialized countries."
statistics,"a collection of numerical facts or measurements, as about people, business conditions, or weather","The statistics show that, in general, women live longer than men.",There is little statistical evidence to support the idea that stocks do better in summer than in other seasons.
steel,"a strong metal that is a mixture of iron and carbon, used for making things that need a strong structure, especially vehicles and buildings' or a particular type of this metal",steel girders/rods/struts,a steel helmet
stem,"a central part of something from which other parts can develop or grow, or which forms a suppor",flower stems,Champagne glasses usually have long stems.
sticky,made of or covered with a substance that stays attached to any surface it touches,a sticky mess,sticky fingers
stimulation,"an action or thing that causes someone or something to become more active or enthusiastic, or to develop or operate","While she was at home looking after her children, she felt deprived of intellectual stimulation.",Electric stimulation can help to heal fractured bones.
stone,"the hard, solid substance found in the ground that is often used for building, or a piece of this",a stone wall/floor,a flight of stone steps
storey,a level of a building,a three-storey house,Their new house has four storeys including the attic.
storm,"an extreme weather condition with very strong wind, heavy rain, and often thunder and lightning",A lot of trees were blown down in the recent storms.,They're still cleaning up the storm damage.
straight,continuing in one direction without bending or curving,a straight line,She has straight blonde hair.
strategies,"a detailed plan for achieving success in situations such as war, politics, business, industry, or sport, or the skill of planning for such situations",The president held an emergency meeting to discuss military strategy with the Pentagon yesterday.,Their marketing strategy for the product involves obtaining as much free publicity as possible.
stream train,,,
street,a road in a city or town that has buildings that are usually close together along one or both sides,The streets were strewn with rubbish after the parade.,a street map
stress,"great worry caused by a difficult situation, or something that causes this condition","under stress People under a lot of stress may experience headaches, minor pains, and sleeping difficulties.",combat stress Yoga is a very effective technique for combating stress.
strike,"to refuse to continue working because of an argument with an employer about working conditions, pay levels, or job losses",the right to strike Democratization has brought workers the right to strike and join a trade union.,strike for We're striking for better pay and improved safety standards.
striped,Something that is striped has stripes on it,green and white striped pyjamas,Do you prefer plain or striped shirts?
strongly recommended,,,
struggling,unsuccessful but trying hard to succeed,It's the story of a struggling artist who marries a rich woman.,
student account,,,
student advisor,,,
student retention,,,
student support services,,,
stuff,"a substance, especially when you do not know or say exactly what it is",There's sticky stuff all over the chair.,What's this black stuff?
substance,material with particular physical characteristics,What sort of substance could withstand those temperatures?,organic substance
substitute,to use something or someone instead of another thing or person,substitute something for something You can substitute oil for butter (= use oil instead of butter) in this recipe.,substitute something with something You can substitute the wheat flour with almond flour (= use almond flour instead of wheat flour).
suburb,an area on the edge of a large town or city where people who work in the town or city often live,Box Hill is a suburb of Melbourne.,We drove from middle-class suburbs to a very poor inner-city area.
subway,a railway system in which electric trains travel through tunnels below ground,We took the subway uptown to Yankee Stadium.,A guy gave me his seat on the subway.
sufcient,,,
sufficient,enough for a particular purpose,sufficient for This recipe should be sufficient for five people.,sufficient evidence/time/funds/etc. to It was thought that he'd committed the crime but there wasn't sufficient evidence to convict him.
suggest,"to mention an idea, possible plan, or action for other people to consider",I suggested an Italian restaurant near the station for the party.,"formal Might I suggest a white wine with your salmon, sir?"
suitable,acceptable or right for someone or something,The film is not suitable for children.,"A conference was planned, but finding a suitable venue proved difficult."
suite,"a set of connected rooms, especially in a hotel",The singer was interviewed in his hotel suite.,They have a whole suite of offices on the 34th floor.
Sunday,"the day of the week after Saturday and before Monday, when most people in Western countries do not go to work",We're going to visit my aunt and uncle on Sunday.,They go to church on Sundays.
superiority,"the fact that one person or thing is better, stronger, etc. than another",superiority over The Australian team soon demonstrated their superiority over the opposition.,Her sense of superiority makes her very unpopular.
supervise,"to watch a person or activity to make certain that everything is done correctly, safely, etc.",The UN is supervising the distribution of aid by local agencies in the disaster area.,The children play while two teachers supervise (= make certain that they behave correctly and are safe).
supervisor,a person whose job is to supervise someone or somethin,All managers and supervisors should be familiar with policy and procedures relating to equal employment opportunities.,A significant proportion of workers felt they had been bullied by their immediate supervisor.
support,"to agree with and give encouragement to someone or something because you want him, her, or it to succeed",My father supported the Labour Party all his life.,The majority of people in the town strongly support the plans to build a new school.
surely,used to express that you are certain or almost certain about something,The problem surely lies in the design of the equipment.,"US formal ""May I sit here?"" ""Surely."" (= Yes, certainly.)"
surfing,the sport of riding on a wave on a special boar,internet surfing,Dale took up surfing after his family moved to Los Angeles.
surpass,to do or be better than,His time for the 100 metres surpassed the previous world record by one hundredth of a second.,The book's success has surpassed everyone's expectations.
survey,"an examination of opinions, behaviour, etc., made by asking people questions",A recent survey found/revealed/showed that 58 percent of people did not know where their heart is.,to conduct/carry out/do a survey
swimming,the activity or sport of swimming,The doctor recommended swimming as the best all-round exercise.,a swimming instructor/lesson
swimming pool,"an artificial area of water for swimming, or a building containing this",an indoor/outdoor swimming pool,
Switzerland,a country in central Europ,,
sympathize,to understand and care about someone's problems,"I know what it's like to have migraines, so I really sympathize (with you).","I sympathize with the general aims of the organization, but on this particular issue I disagree."
symphony,"a long piece of music for an orchestra, usually with four movements (= parts)",Mahler's ninth symphony,
tai-chi,"a form of exercise, originally from China, involving slow movements of the body","Stretching is important in the most widely accepted and oldest forms of exercise, such as running, yoga, and tai chi.",The practice of tai chi chuan may improve your balance and bone mineral density.
take on,to accept a particular job or responsibility,She took too much on and made herself ill.,Her voice took on a troubled tone.
takes away,"to remove something, especially without permission",Has anything been taken (= stolen)?,Here's your pen - I took it by mistake.
tanker,a ship or vehicle that is built to carry liquid or gas,an oil tanker,an oil tanker
tasks,"a piece of work to be done, especially one done regularly, unwillingly, or with difficulty",perform a task We usually ask interviewees to perform a few simple tasks on the computer just to test their aptitude.,daunting task The government now faces the daunting task of restructuring the entire health service.
taxi,a car with a driver who you pay to take you somewhere,I took a taxi from the station to the hotel.,a taxi driver
taxpayers’ money,,,
teacher,someone whose job is to teach in a school or colleg,an English/math/kindergarten teacher,
team,a number of people or animals who do something together as a group,a basketball/hockey/netball team,a team of investigators
team leaders,the person in charge of a team,The team leader needs to be able to motivate all members of the team.,She is more than ready for the team leader role.
teamwork,"the activity of working together in a group with other people, especially when this is successful",Great teamwork and old fashioned grit got the team a last minute point.,"Her determination, teamwork skills and leadership capabilities convinced us that she was perfect for the job."
tear up,to tear paper into a lot of small pieces,He tore the letter up and threw it away.,She tore up the contract and walked out.
technical cooperation,,,
television,"a device shaped like a box with a screen that receives electrical signals and changes them into moving images and sound, or the method or business of sending images and sound by electrical signals",a 3D/an HD television,Could you turn the television down?
temperature,the measured amount of heat in a place or in the body,Preheat the oven to a temperature of 200 degrees Celsius.,Temperatures have risen over the past few days (= the weather has become warmer).
temple,a building used for the worship of a god or gods in some religion,,
temporary,not lasting or needed for very long,The ceasefire will only provide a temporary solution to the crisis.,temporary staff
temporary,not lasting or needed for very long,The ceasefire will only provide a temporary solution to the crisis.,temporary staff
tenant,a person who pays rent for the use of land or a buildin,"For years, they were tenants on my father’s property.",We are hoping to lease the four-story building to a single tenant when it's completed this fall.
tennis,a game played between two or four people on a special playing area that involves hitting a small ball across a central net using a racke,,
terraced house,a house that is joined to the houses on either side of it by shared wall,,
tertiary,relating to a third level or stag,tertiary education,These issues were considered to be of tertiary importance.
textbook,a book that contains detailed information about a subject for people who are studying that subject,a science textbook,That was a textbook goal from Taylor.
textile,a cloth made by hand or machine,the textile industry,Imports of textiles rose last year.
Thai,"belonging to or relating to Thailand, its people, or its languag",,
thatched cottage,"a small house, usually in the countryside, with a roof that is made from straw (= dried stems of crops) or reeds (= the hollow stems of tall, stiff plants that grow near water)",He moved from London to live in a thatched cottage in the Cotswolds.,There was a row of whitewashed thatched cottages on one side of the main street.
the discus,a heavy plate-shaped object that is thrown as part of a sports even,,
the dominican republic,a country in the Caribbea,,
the hammer,"a tool consisting of a piece of metal with a flat end that is fixed onto the end of a long, thin, usually wooden handle, used for hitting thing",She qualified for the women's hammer final.,hammer something into something Can you hold this nail in position while I hammer it into the door?
the high jump,to be going to be punished for something you have done wron,,
the javelin,a long stick with a pointed end that is thrown in sports competition,She was first in the javelin.,
the philippines,a country formed of a group of islands in Southeast Asi,,
the press,magazines and newspapers that are written and published for a particular industry,Reports in the trade press have speculated the group is planning a hostile bid.,
theatre,"a building, room, or outside structure with rows of seats, each row usually higher than the one in front, from which people can watch a performance or other activity",the Lyceum Theatre,a lecture theatre
thereby,as a result of this action,"Diets that are high in saturated fat clog up our arteries, thereby reducing the blood flow to our hearts and brains.","They had failed to agree to a settlement, thereby throwing 250 people out of work."
thermal,connected with heat,thermal conductivity (= ability of a substance to carry heat),It was the Romans who first recognized the medicinal benefits of Hungary's thermal springs (= ones which produce hot water).
thick,having a large distance between two sides,a thick rope,a thick layer of dust
though,despite the fact that,"even though She hasn't called, even though she said she would.","They're coming next week, though I don't know which day."
three dimensions,,,
three times,,,
three times per week,,,
through,from one end or side of something to the other,They walked slowly through the woods.,The boy waded through the water to reach his boat.
throw away,to waste a skill or opportunity,You've spent three years working hard in college - don't throw it all away.,When are you going to throw away those old magazines?
Thursday,the day of the week after Wednesday and before Friday,I'm getting my hair cut after work on Thursday.,The shops stay open late on Thursdays.
ticket office,,,
tolerance,"willingness to accept behaviour and beliefs that are different from your own, although you might not agree with or approve of them",This period in history is not noted for its religious tolerance.,Some members of the party would like to see it develop a greater tolerance of/towards contrary points of view.
tomatoes,plural of,,
tomat,,,
topic,"a subject that is discussed, written about, or studied",Our discussion included topics such as acid rain and the melting of polar ice.,Your essay can be on any topic you like.
tornado,"a strong, dangerous wind that forms itself into an upside-down spinning cone and is able to destroy buildings as it moves across the groun",,
touch,to put your hand or another part of your body lightly onto and off something or someone,That paint is wet - don't touch (it).,touch someone on something He touched the girl on the arm to get her attention.
tourist attraction,"a place that people visit for pleasure and interest, usually while they are on holiday",major/big/top tourist attraction The Grand Canyon is Arizona's biggest tourist attraction.,He plans to turn the former jail into a tourist attraction.
tourist guided tour,,,
tow truck,a truck with special equipment for pulling a vehicle that is not working to a place where it can be repaire,,
town house,"a house in a town or city, usually a comfortable, expensive one in a fashionable area",a beautiful four-storey town house,
tractor,"a motor vehicle with large back wheels and thick tyres, used on farms for pulling machiner",,
traffic jams,a large number of vehicles close together and unable to move or moving very slowly,The snow caused traffic jams all over the city.,I was stuck in a traffic jam for an hour yesterday.
train,a railway engine connected to carriages for carrying people or to wheeled containers for carrying goods,goods/freight/passenger train The line was closed yesterday after a goods/freight/passenger train derailed.,train to/from The train to/from Bristol has been delayed due to a signal failure.
trainee,a person who is learning and practising the skills of a particular job,a trainee dentist/electrician,We have three new trainees in the accounting department.
training,the process of learning the skills you need to do a particular job or activity,a training course,a teacher-training college
tram,"an electric vehicle that transports people, usually in cities, and goes along metal tracks in the roa",I hopped off the tram near the park.,
tranquil,"calm and peaceful and without noise, violence, worry, etc.",She stared at the tranquil surface of the water.,The hotel is in a tranquil rural setting.
transporter,a long vehicle used for moving several large objects such as cars from one place to another,a car transporter,the country's largest shipping corporation and a major oil transporter
treadmill,any type of repeated work that is boring and makes you feel tired and seems to have no positive effect and no end,"There were days when having kids seemed like an endless treadmill of feeding, washing, and nappy-changing.",She works out on a treadmill.
treat,to behave towards someone or deal with something in a particular way,My parents treated us all the same when we were kids.,He treated his wife very badly.
treated me,"to behave towards someone in a way that is right and reasonable, and equal to others",He claimed that he hadn't been treated fairly by his employers.,We believe in dignity and treating people fairly.
treatment,the way you deal with or behave towards someone or something,Peter gets special treatment because he knows the boss.,The same subject matter gets a very different treatment by Chris Wilson in his latest novel.
tremendous,"very great in amount or level, or extremely good",They were making a tremendous amount of noise last night.,She's been a tremendous (= very great) help to me over the last few months.
triangular,shaped like a triangle,a triangular plot of land,The play is performed on a triangular stage.
triangular,shaped like a triangle,a triangular plot of land,The play is performed on a triangular stage.
trilingual,able to speak three language,,
trip,"a journey in which you go somewhere, usually for a short time, and come back again",trip from somewhere to somewhere The trip from York to Newcastle takes about an hour by train.,on a trip We're going on a trip to Norway this summer.
truck,a large road vehicle that is used for transporting large amounts of goods,overturned truck The road was completely blocked by an overturned truck.,truck driver He found work as a truck driver.
